member_casual,day_of_week,rides,avg_ride_min
casual,Monday,224072,19.656508872892584
casual,Tuesday,217852,17.611964245985288
casual,Wednesday,211407,16.392087061771683
casual,Thursday,245690,17.54565854939348
casual,Friday,307546,19.605176681425434
casual,Saturday,392878,22.434519349438798
casual,Sunday,322443,23.111996811839763
member,Monday,504255,11.668459886926462
member,Tuesday,555152,11.68351672578046
member,Wednesday,533963,11.519802239918654
member,Thursday,557255,11.703095926913544
member,Friday,524348,12.012341408568224
member,Saturday,440023,13.183675837324953
member,Sunday,384206,13.359492350504695
