member_casual,month,rides
casual,2024-10-01T00:00:00Z,12
casual,2024-11-01T00:00:00Z,90590
casual,2024-12-01T00:00:00Z,37360
casual,2025-01-01T00:00:00Z,23405
casual,2025-02-01T00:00:00Z,27003
casual,2025-03-01T00:00:00Z,82864
casual,2025-04-01T00:00:00Z,105260
casual,2025-05-01T00:00:00Z,175655
casual,2025-06-01T00:00:00Z,278702
casual,2025-07-01T00:00:00Z,308446
casual,2025-08-01T00:00:00Z,323533
casual,2025-09-01T00:00:00Z,254727
casual,2025-10-01T00:00:00Z,214331
member,2024-10-01T00:00:00Z,20
member,2024-11-01T00:00:00Z,238773
member,2024-12-01T00:00:00Z,137570
member,2025-01-01T00:00:00Z,112331
member,2025-02-01T00:00:00Z,122097
member,2025-03-01T00:00:00Z,208458
member,2025-04-01T00:00:00Z,257921
member,2025-05-01T00:00:00Z,313996
member,2025-06-01T00:00:00Z,379523
member,2025-07-01T00:00:00Z,430394
member,2025-08-01T00:00:00Z,443130
member,2025-09-01T00:00:00Z,440954
member,2025-10-01T00:00:00Z,414035
